City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Butaritari,KI,2022-11-12 14:05:25,3.0707,172.7902,80.49,76,56,14.76,broken clouds
60,Provideniya,RU,2022-11-12 14:09:05,64.3833,-173.3,14.43,76,6,9.84,clear sky
61,Swan River,CA,2022-11-12 14:09:06,52.1058,-101.2676,-1.28,99,55,1.54,broken clouds
62,Albany,US,2022-11-12 13:58:24,42.6001,-73.9662,61.95,84,100,4.0,overcast clouds
63,Sarab,IR,2022-11-12 14:09:06,38.6066,44.9883,50.52,57,2,3.98,clear sky
64,Chokurdakh,RU,2022-11-12 14:09:06,70.6333,147.9167,-28.08,100,100,5.61,overcast clouds
65,Vao,NC,2022-11-12 14:06:16,-22.6667,167.4833,73.15,82,100,20.6,overcast clouds
66,Mahebourg,MU,2022-11-12 14:09:07,-20.4081,57.7,76.24,61,0,8.84,clear sky
67,Cape Town,ZA,2022-11-12 14:00:05,-33.9258,18.4232,74.12,67,7,8.99,clear sky
68,Kapaa,US,2022-11-12 14:06:38,22.0752,-159.319,74.1,70,75,19.57,broken clouds
69,Hobart,AU,2022-11-12 14:02:27,-42.8794,147.3294,48.25,87,100,0.0,overcast clouds
70,Pochutla,MX,2022-11-12 14:09:07,15.7432,-96.4661,76.82,75,70,2.68,broken clouds
71,La Ronge,CA,2022-11-12 14:09:08,55.1001,-105.2842,8.8,95,98,10.07,overcast clouds
72,Egvekinot,RU,2022-11-12 14:09:08,66.3167,-179.1667,-2.25,86,4,6.71,clear sky
73,Puerto Ayora,EC,2022-11-12 14:03:01,-0.7393,-90.3518,69.55,85,97,8.01,overcast clouds
74,Muriti,TZ,2022-11-12 14:09:08,-1.9833,32.9167,71.56,70,100,12.62,overcast clouds
75,Vallenar,CL,2022-11-12 14:09:08,-28.5708,-70.7581,68.11,42,86,6.15,overcast clouds
76,Spencer,US,2022-11-12 14:05:27,43.1414,-95.1444,23.11,79,100,14.97,overcast clouds
77,Palauig,PH,2022-11-12 14:09:09,15.435,119.9045,82.02,78,7,4.12,clear sky
78,Kodiak,US,2022-11-12 14:05:25,57.79,-152.4072,42.31,81,75,9.22,broken clouds
79,Zalari,RU,2022-11-12 14:09:09,53.5584,102.5065,22.53,80,100,2.93,overcast clouds
80,Husavik,IS,2022-11-12 14:05:26,66.0449,-17.3389,39.27,82,15,6.13,few clouds
81,Praia Da Vitoria,PT,2022-11-12 14:09:10,38.7333,-27.0667,64.76,80,100,19.46,overcast clouds
82,Noumea,NC,2022-11-12 14:09:10,-22.2763,166.4572,77.0,99,100,14.23,overcast clouds
83,Jamestown,US,2022-11-12 13:57:55,42.097,-79.2353,44.24,77,100,10.36,overcast clouds
84,Coquimbo,CL,2022-11-12 14:02:05,-29.9533,-71.3436,61.88,65,100,4.29,light rain
85,Jalingo,NG,2022-11-12 14:09:11,8.8833,11.3667,97.56,18,2,8.68,clear sky
86,Popondetta,PG,2022-11-12 14:09:11,-8.7537,148.2534,75.09,94,100,1.92,heavy intensity rain
87,Torbay,CA,2022-11-12 14:09:11,47.6666,-52.7314,38.26,96,100,9.22,mist
88,Pisco,PE,2022-11-12 14:05:11,-13.7,-76.2167,65.01,82,75,6.91,mist
89,Romans-Sur-Isere,FR,2022-11-12 14:10:12,45.0464,5.0562,64.56,88,100,1.97,overcast clouds
90,Dingle,PH,2022-11-12 14:05:31,10.9995,122.6711,77.18,90,6,6.69,clear sky
91,Saldanha,ZA,2022-11-12 14:10:12,-33.0117,17.9442,66.92,71,0,14.85,clear sky
92,Sao Gabriel Da Cachoeira,BR,2022-11-12 14:10:13,-0.1303,-67.0892,82.49,78,100,1.43,overcast clouds
93,Atuona,PF,2022-11-12 14:02:53,-9.8,-139.0333,77.74,74,2,17.22,clear sky
94,Yulara,AU,2022-11-12 14:10:13,-25.2406,130.9889,79.21,29,0,16.69,clear sky
95,Upernavik,GL,2022-11-12 14:04:11,72.7868,-56.1549,11.32,80,67,10.6,broken clouds
96,Chuy,UY,2022-11-12 14:02:59,-33.6971,-53.4616,74.53,59,3,10.54,clear sky
97,Matagami,CA,2022-11-12 14:00:17,49.7502,-77.6328,24.91,93,100,11.5,overcast clouds
98,Bluff,NZ,2022-11-12 14:02:55,-46.6,168.3333,50.74,88,91,6.85,overcast clouds
99,Cervo,ES,2022-11-12 14:10:14,43.6702,-7.4101,69.96,57,71,5.48,broken clouds
100,Hundested,DK,2022-11-12 14:10:14,55.9667,11.8667,58.35,90,99,4.0,overcast clouds
101,Padang,ID,2022-11-12 14:10:14,-0.9492,100.3543,77.05,87,100,1.32,overcast clouds
102,Mutsu,JP,2022-11-12 14:10:14,41.2894,141.2169,51.87,76,99,4.99,overcast clouds
103,Kedungwaru,ID,2022-11-12 14:10:15,-8.0667,111.9167,76.33,94,100,3.2,overcast clouds
104,Leningradskiy,RU,2022-11-12 14:10:15,69.3833,178.4167,-12.86,96,66,4.59,broken clouds
105,Vangaindrano,MG,2022-11-12 14:10:15,-23.35,47.6,78.17,61,0,8.28,clear sky
106,Vaini,TO,2022-11-12 14:04:03,-21.2,-175.2,73.56,100,40,2.3,scattered clouds
