Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
637,Son La,VN,65.77,clear sky,21.3167,103.9,Galaxy Grand Hotel
638,Ankazoabo,MG,85.5,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
639,Pombas,CV,80.38,clear sky,17.1503,-25.0201,Paul Paradis
640,Lujan,AR,76.01,light rain,-34.5703,-59.105,Hotel Biarritz
641,San Vicente,AR,80.51,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
643,Oussouye,SN,93.38,few clouds,12.485,-16.5469,Auberge du Routard
644,Totness,SR,83.44,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
645,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
647,Aden,YE,80.64,clear sky,12.7794,45.0367,Sama Emirate Hotel
649,Uthal,PK,82.74,clear sky,25.8072,66.6219,Al-Mustafa Hotel
650,Katsuura,JP,66.78,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
651,Wajid,SO,84.94,broken clouds,3.8093,43.2471,xamdihotelresturant114
652,Srimushnam,IN,75.81,overcast clouds,11.4,79.4167,R.senthilnathsn
653,Nisia Floresta,BR,86.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
655,Wewak,PG,80.2,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
656,Atar,MR,91.98,clear sky,20.5169,-13.0499,Oumou Elghoura
657,Bowen,AU,76.1,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
658,Hobyo,SO,82.67,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
659,Poum,NC,76.33,few clouds,-20.2333,164.0167,
660,Hervey Bay,AU,71.78,clear sky,-25.2986,152.8535,Shelly Bay Resort
661,Massakory,TD,94.6,clear sky,12.996,15.7293,Chabakari - Am Doukhan
663,Esna,EG,82.42,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
664,Batie,BF,93.45,broken clouds,9.8833,-2.9167,Auberge SONDAR AFACI
666,Marang,MY,78.3,broken clouds,5.2056,103.2059,DBarakah Homestay
668,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
669,Kaohsiung,TW,82.04,scattered clouds,22.6163,120.3133,御宿商旅-中山館
671,Manokwari,ID,79.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
673,Luena,AO,77.09,light rain,-11.7833,19.9167,Hotel Kandamba
675,Monte Carmelo,BR,85.48,overcast clouds,-18.7247,-47.4986,Park hotel
677,Lucapa,AO,75.76,light rain,-8.4192,20.7447,Lírio Mendes
678,Nantucket,US,66.34,broken clouds,41.2835,-70.0995,Jared Coffin House
681,Patamundai,IN,73.72,few clouds,20.5667,86.5667,Divine Palace and Lodge
683,Santo Tomas,PH,80.85,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
684,Inirida,CO,85.68,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
685,Bartica,GY,85.26,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
686,Nanning,CN,75.65,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
688,Edgewater,US,74.01,few clouds,28.9889,-80.9023,Islander Beach Resort
690,Vredendal,ZA,71.64,clear sky,-31.6683,18.5012,Tharrakamma Guest House
692,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Alize Plage
693,Thap Than,TH,75.7,broken clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
694,Umm Lajj,SA,80.62,clear sky,25.0213,37.2685,Moon light Furnished Units
695,Cascais,PT,74.52,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
696,Wenling,CN,68.77,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
698,Fasa,IR,69.04,scattered clouds,28.9383,53.6482,Fasa University Boys' Dormitory
699,Menemen,TR,69.17,clear sky,38.6075,27.0694,Orkide Otel
700,Galle,LK,78.73,moderate rain,6.0367,80.217,Amangalla
701,Pagudpud,PH,79.75,clear sky,18.5616,120.7868,Saud Beach Resort and Hotel - 2
702,Majalgaon,IN,73.89,broken clouds,19.15,76.2333,Yash Shri
703,Mongoumba,CF,84.31,light rain,3.6415,18.5936,
