Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
141,Idlib,SY,67.68,clear sky,35.9306,36.6339,مركز تسيل للتجميل
144,Venado Tuerto,AR,66.76,moderate rain,-33.7456,-61.9688,La Bianca.
145,Long Xuyen,VN,75.15,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
147,Faanui,PF,77.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Aripuana,BR,87.37,overcast clouds,-9.1667,-60.6333,
153,Araouane,ML,91.85,overcast clouds,18.9048,-3.5265,
155,Mayo,US,67.17,clear sky,38.8876,-76.5119,Resorts Resource Group International
156,Sao Joao Da Barra,BR,80.69,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
158,Brandon,US,76.08,mist,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
159,Lata,PT,73.49,clear sky,40.1629,-8.3327,Casa Maquia
161,Mar Del Plata,AR,77.83,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
163,Asosa,ET,73.04,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
164,Caravelas,BR,85.35,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
165,Hilo,US,69.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
169,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
171,Inhambane,MZ,84.18,scattered clouds,-23.865,35.3833,Oceano
174,Parrita,CR,78.98,overcast clouds,9.5201,-84.3225,Beso del Viento
177,Sangmelima,CM,80.4,light rain,2.9333,11.9833,gamestar hotel
179,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
180,Ambilobe,MG,81.73,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
182,Manacor,ES,74.34,clear sky,39.5696,3.2096,Hotel Can Guixa
184,Cape Canaveral,US,76.06,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
187,Zamora,EC,78.84,overcast clouds,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
190,Cidreira,BR,72.61,broken clouds,-30.1811,-50.2056,Hotel Castelo
191,Catuday,PH,81.16,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
193,Nalut,LY,71.29,clear sky,30.3333,10.85,
194,Marsh Harbour,BS,80.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
195,Kruisfontein,ZA,66.85,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
197,Victoria,HK,77.32,clear sky,22.2855,114.1577,Mini Central
198,Cabo San Lucas,MX,69.06,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
200,Nouadhibou,MR,71.17,clear sky,20.931,-17.0347,El Medina
201,Hualmay,PE,66.56,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
204,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
207,Remanso,BR,86.68,few clouds,-9.6179,-42.0831,Hotel Mangueira
215,Sainte-Maxime,FR,69.93,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
218,Kralendijk,BQ,76.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
219,Jinxiang,CN,69.64,clear sky,27.4327,120.6062,Wolong Village
221,Porbandar,IN,83.44,clear sky,21.6422,69.6093,Lords Inn Porbandar
222,La Asuncion,VE,82.26,broken clouds,11.0333,-63.8628,Colinas de Matasiete
224,Saint-Joseph,RE,77.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
225,Rabo De Peixe,PT,66.27,broken clouds,37.8,-25.5833,Quinta das Giestas
228,Kavaratti,IN,79.05,light rain,10.5669,72.642,Green leaf
229,Sao Filipe,CV,77.27,overcast clouds,14.8961,-24.4956,Hotel Xaguate
230,Umm Kaddadah,SD,86.92,few clouds,13.6017,26.6876,
231,Nioro,GM,93.94,scattered clouds,13.35,-15.75,
232,Baculin,PH,79.07,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
233,Nabire,ID,76.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
235,Muros,ES,72.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
239,Dhidhdhoo,MV,82.08,overcast clouds,6.8833,73.1,Dhidhoo beach
240,Salinopolis,BR,83.28,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
241,Bethel,US,69.19,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
242,Farah,AF,66.0,overcast clouds,32.5,62.5,
244,Sao Miguel Do Araguaia,BR,90.57,light rain,-13.275,-50.1628,Hotel Executivo Palace
245,Sembe,CG,83.44,light rain,1.6481,14.5806,
246,Gaya,IN,70.09,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
247,Port Moresby,PG,76.96,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
249,Isla Mujeres,MX,78.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
252,Khash,IR,69.57,scattered clouds,28.2211,61.2158,Mahmud's House
254,Arraial Do Cabo,BR,80.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
255,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
256,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
257,Oyama,JP,67.59,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
264,Cockburn Town,TC,81.75,clear sky,21.4612,-71.1419,Osprey Beach Hotel
265,East London,ZA,76.14,thunderstorm,-33.0153,27.9116,Tu Casa
272,Watsa,CD,65.57,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
274,Meulaboh,ID,75.79,light rain,4.1363,96.1285,Kost Pria
277,Orbetello,IT,65.43,overcast clouds,42.4408,11.2196,Argentario Golf & Wellness Resort
278,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
282,Asfi,MA,70.79,clear sky,32.2994,-9.2372,Hôtel Abda
284,Rock Sound,BS,80.94,overcast clouds,24.9,-76.2,Pink Corral Bay Property
286,Tripoli,LY,71.06,clear sky,32.8752,13.1875,Al Waddan Hotel
287,Touros,BR,85.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
288,Angoche,MZ,83.43,clear sky,-16.2325,39.9086,Guest House HESADA
289,Naraini,IN,70.9,clear sky,25.1833,80.4833,Chaurasiya marriage hall
290,Abaete,BR,82.26,overcast clouds,-19.16,-45.4458,Hotel Millenium
293,Pantai Remis,MY,77.94,moderate rain,4.4557,100.6288,Leisure Homestay
294,Makakilo City,US,73.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
296,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
297,Kalmunai,LK,77.97,moderate rain,7.4167,81.8167,VS Villa
298,Serik,TR,73.65,clear sky,36.9169,31.0989,Tui Day & Night Connected
299,Ilebo,CD,85.41,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
303,Karratha,AU,75.81,clear sky,-20.7377,116.8463,ibis Styles Karratha
304,Westport,US,70.27,few clouds,41.1415,-73.3579,The Westport Inn
305,Ballina,AU,69.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
307,Mitsamiouli,KM,79.07,scattered clouds,-11.3847,43.2844,Foyer ADM
308,Raga,SS,89.82,overcast clouds,8.4596,25.678,
309,Mananjary,MG,77.76,clear sky,-21.2167,48.3333,Vahiny Lodge
311,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
313,Sorong,ID,82.63,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
314,Laibin,CN,75.94,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
318,Naze,JP,72.54,few clouds,28.3667,129.4833,Shishime Hotel
319,Ikom,NG,91.27,light rain,5.9667,8.7063,Ebenezer Beim excellence hotel
323,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
327,Ghatampur,IN,71.91,clear sky,26.1667,80.1667,OYO 46903 Hotel Sai Palace
328,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
330,Nouakchott,MR,94.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
331,Ikwiriri,TZ,87.26,few clouds,-7.9562,38.9716,Greenland lodge
334,Bubaque,GW,81.07,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
338,Masalli,KR,65.88,light rain,34.7959,126.6553,영암펜션
341,Rawson,AR,66.54,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
342,Tessalit,ML,89.02,overcast clouds,20.1986,1.0114,
344,Sterling,US,65.39,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
345,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
346,Nova Olimpia,BR,91.78,overcast clouds,-14.7972,-57.2881,Motel glamour
350,Abha,SA,66.02,few clouds,18.2164,42.5053,Abha Hotel
355,Rocky Mount,US,69.96,broken clouds,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
359,Chipinge,ZW,74.37,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
363,Acarau,BR,86.47,overcast clouds,-2.8856,-40.12,castelo pizzaria
364,Vila Franca Do Campo,PT,67.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
