City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2022-11-08 14:29:47,-9.8,-139.0333,76.15,76,96,14.56
68,Saskylakh,RU,2022-11-08 14:29:47,71.9167,114.0833,-8.52,99,97,4.18
69,Hirara,JP,2022-11-08 14:29:48,24.8,125.2833,77.54,80,13,19.46
70,Chalchihuites,MX,2022-11-08 14:29:48,23.4833,-103.8833,54.91,59,0,6.38
71,Kavieng,PG,2022-11-08 14:29:49,-2.5744,150.7967,83.39,72,100,5.26
72,Caravelas,BR,2022-11-08 14:29:49,-17.7125,-39.2481,77.07,59,100,6.38
73,Japura,ID,2022-11-08 14:29:50,-0.3167,102.35,74.77,98,100,2.84
74,Lata,PT,2022-11-08 14:29:50,40.1629,-8.3327,63.07,91,100,8.32
75,Bluff,NZ,2022-11-08 14:29:50,-46.6,168.3333,54.39,88,37,17.76
76,Kiama,AU,2022-11-08 14:29:51,-34.6833,150.8667,64.0,88,4,6.69
77,Provideniya,RU,2022-11-08 14:29:51,64.3833,-173.3,29.91,95,100,18.07
78,Usak,TR,2022-11-08 14:29:51,38.5,29.4167,57.18,32,100,9.28
79,Hami,CN,2022-11-08 14:29:52,42.8,93.45,48.56,28,7,7.16
80,Sitka,US,2022-11-08 14:29:52,57.0531,-135.33,29.52,42,100,1.28
81,Tucuman,AR,2022-11-08 14:29:52,-26.8241,-65.2226,80.6,32,17,6.91
82,Eyl,SO,2022-11-08 14:29:53,7.9803,49.8164,80.19,68,0,12.26
83,Nyurba,RU,2022-11-08 14:29:53,63.2842,118.3319,1.65,98,99,2.66
84,Jinchang,CN,2022-11-08 14:29:53,38.4953,102.1739,43.88,33,84,4.32
85,Ust-Kuyga,RU,2022-11-08 14:29:54,70.0167,135.6,-0.87,99,100,5.37
86,Martapura,ID,2022-11-08 14:29:54,-3.4167,114.85,75.56,93,100,2.08
87,Hithadhoo,MV,2022-11-08 14:29:54,-0.6,73.0833,81.54,78,68,17.92
88,Klaksvik,FO,2022-11-08 14:29:54,62.2266,-6.589,50.92,93,100,13.6
89,Souillac,MU,2022-11-08 14:29:55,-20.5167,57.5167,75.58,73,40,9.22
90,Carnarvon,AU,2022-11-08 14:29:55,-24.8667,113.6333,67.84,67,0,13.6
91,Malanje,AO,2022-11-08 14:29:55,-9.5402,16.341,79.57,55,100,3.58
92,Bukachacha,RU,2022-11-08 14:29:56,52.9833,116.9167,14.52,87,47,3.76
93,Rio Grande,BR,2022-11-08 14:29:56,-32.035,-52.0986,75.31,61,7,14.7
94,Nurobod,UZ,2022-11-08 14:29:56,40.9056,69.8023,36.52,100,100,4.25
95,Talnakh,RU,2022-11-08 14:29:57,69.4865,88.3972,-13.83,99,88,4.74
96,Alta Floresta,BR,2022-11-08 14:30:57,-9.8756,-56.0861,87.62,66,51,4.61
97,Jieshi,CN,2022-11-08 14:30:58,22.8134,115.8257,71.37,83,95,16.67
98,Lebu,CL,2022-11-08 14:30:58,-37.6167,-73.65,60.98,69,100,2.01
99,Khorramabad,IR,2022-11-08 14:30:59,33.4878,48.3558,62.22,29,40,6.91
100,Sorong,ID,2022-11-08 14:30:59,-0.8833,131.25,79.16,85,100,9.06
101,Bengkulu,ID,2022-11-08 14:30:59,-3.8004,102.2655,77.54,88,100,4.59
102,Pangnirtung,CA,2022-11-08 14:30:59,66.1451,-65.7125,12.2,73,20,3.44
103,The Pas,CA,2022-11-08 14:31:00,53.8251,-101.2541,14.02,85,100,10.36
104,Ahipara,NZ,2022-11-08 14:31:00,-35.1667,173.1667,56.97,96,21,7.02
105,Tutoia,BR,2022-11-08 14:31:01,-2.7619,-42.2744,84.7,60,100,14.23
106,Qaanaaq,GL,2022-11-08 14:31:01,77.484,-69.3632,-5.98,79,85,8.08
